minute,second,time,stage,team,home,player_name,jersey_number,sx,sy,recipient,jersey_number_receiver,ex,ey,dx,dy,length,angle,direction,is_progressive,height,is_cross,is_through,zone_origin,zone_dest,is_complete,passer_pressure,passer_pressure_dist,receiver_pressure,receiver_pressure_dist,bypassed_opponents,risk_measure
0,0,00:00,Final,Italy,Italy,Ciro Immobile,17,60.0,40.0,Marco Verratti,6,49.5,33.2,-10.5,-6.799999999999997,12.50959631642844,-2.5668930346476038,backward,False,Ground Pass,False,False,middle,middle,True,0,10.204026373639838,0,11.643986504243289,0,0.20615332011241866
0,2,00:02,Final,Italy,Italy,Marco Verratti,6,48.0,35.7,Giovanni Di Lorenzo,2,39.0,70.7,-9.0,35.0,36.138621999185304,1.8224862985530834,backward,False,Ground Pass,False,False,middle,defensive,True,0,4.411519934799618,0,28.8061324669043,0,0.26427680779861107
0,5,00:05,Final,Italy,Italy,Giovanni Di Lorenzo,2,39.2,68.4,Leonardo Bonucci,19,24.9,46.7,-14.300000000000004,-21.700000000000003,25.98807418798092,-2.1534628016948707,backward,False,Ground Pass,False,False,defensive,defensive,True,0,9.139146969952668,0,20.186525610316522,0,0.2372296326754068
0,8,00:08,Final,Italy,Italy,Leonardo Bonucci,19,25.3,46.4,Giorgio Chiellini,3,24.4,17.7,-0.9000000000000021,-28.7,28.71410803072246,-1.6021449386430977,lateral,False,Ground Pass,False,False,defensive,defensive,True,0,11.400508929114897,0,27.066532236649056,0,0.23424334245159062
0,10,00:10,Final,Italy,Italy,Giorgio Chiellini,3,23.9,18.6,Leonardo Bonucci,19,16.4,44.1,-7.5,25.5,26.580067720004024,1.856847768512215,backward,False,Ground Pass,False,False,defensive,defensive,True,0,10.390338552946124,0,19.263057278330454,0,0.23800446026424377
0,13,00:13,Final,Italy,Italy,Leonardo Bonucci,19,16.2,44.3,Gianluigi Donnarumma,21,6.8,20.7,-9.399999999999999,-23.599999999999998,25.40314941104744,-1.9498407166447893,backward,False,Ground Pass,False,False,defensive,defensive,True,0,3.2548294753188776,0,26.166815075941283,0,0.23813176337582628
0,18,00:18,Final,Italy,Italy,Gianluigi Donnarumma,21,6.4,20.4,Ciro Immobile,17,59.4,12.4,53.0,-7.999999999999998,53.600373133029585,-0.14981245657289732,forward,True,High Pass,False,False,defensive,middle,False,0,4.466372228529473,0,40.74737213290395,1,0.3442767992768893
0,20,00:20,Final,England,Italy,John Stones,5,59.3,12.299999999999997,Kalvin Phillips,14,51.8,12.599999999999994,7.5,-0.29999999999999716,7.505997601918082,-0.03997868712328966,forward,False,Low Pass,False,False,middle,middle,True,1,1.042165319887434,0,7.022497300673157,1,0.2869084547117698
0,22,00:22,Final,England,Italy,Kalvin Phillips,14,51.8,13.5,Kieran Trippier,12,54.099999999999994,4.599999999999994,-2.299999999999997,8.900000000000006,9.192388155425123,1.8236903918904939,backward,False,High Pass,False,False,middle,middle,False,0,3.312265895168443,0,8.794406920283148,0,0.21019599325365015
0,35,00:35,Final,England,Italy,Kieran Trippier,12,50.599999999999994,0.0,Kyle Walker,2,79.0,1.9000000000000057,-28.400000000000006,-1.9000000000000057,28.46348538039571,-3.0747907903557326,backward,False,Low Pass,False,False,middle,middle,True,0,7.8885196591492,0,20.10184921050378,0,0.24630876727536039
0,42,00:42,Final,England,Italy,Kyle Walker,2,84.7,9.0,Jordan Pickford,1,107.2,37.9,-22.499999999999996,-28.9,36.62594708673074,-2.2323184228120314,backward,False,Ground Pass,False,False,defensive,defensive,True,0,11.814337556556653,0,36.07519646053271,0,0.2466392240576612
0,50,00:50,Final,England,Italy,Jordan Pickford,1,105.0,42.5,Harry Maguire,6,104.7,58.6,0.3000000000000007,-16.1,16.10279478848315,-1.5521649425496318,lateral,False,Ground Pass,False,False,defensive,defensive,True,0,12.4217725334497,0,21.267802642347455,0,0.2027861278290091
0,54,00:54,Final,England,Italy,Harry Maguire,6,101.7,58.2,Luke Shaw,3,80.7,77.0,20.999999999999996,-18.8,28.185812033716534,-0.730177977098066,forward,True,Low Pass,False,False,defensive,defensive,True,0,14.818459931022522,0,16.42825502269126,0,0.23888334199962397
0,56,00:56,Final,England,Italy,Luke Shaw,3,82.2,76.1,Harry Maguire,6,101.7,67.7,-19.499999999999996,8.4,21.232286735064594,2.734845581863822,backward,False,Ground Pass,False,False,defensive,defensive,True,0,4.077256545660692,0,18.55519848956982,0,0.23306834826331196
0,59,00:59,Final,England,Italy,Harry Maguire,6,103.8,67.0,Jordan Pickford,1,119.9,49.0,-16.099999999999998,18.0,24.149741199441454,2.3005335681866463,backward,False,Ground Pass,False,False,defensive,defensive,False,0,4.633085409678872,0,20.716638580697854,0,0.23826407583441583
1,31,01:31,Final,Italy,Italy,Lorenzo Insigne,10,120.0,80.0,Leonardo Bonucci,19,110.4,41.3,-9.599999999999994,-38.7,39.87292314340648,-1.813950174429031,backward,False,High Pass,False,False,attacking,attacking,False,0,,0,,0,0.3121925808398447
1,36,01:36,Final,England,Italy,Raheem Sterling,10,70.6,63.7,Mason Mount,19,77.3,74.8,-6.699999999999996,-11.100000000000001,12.965338406690353,-2.11386132353933,backward,False,High Pass,False,False,middle,middle,True,0,2.714402184297977,0,10.482192724973917,1,0.2629595939939599
1,40,01:40,Final,England,Italy,Mason Mount,19,77.6,74.9,Luke Shaw,3,94.2,73.7,-16.599999999999998,1.2000000000000002,16.643316977093235,3.0694290246301357,backward,False,Low Pass,False,False,middle,defensive,True,1,0.5312774277465204,0,13.445132060676581,1,0.3069802510469039
1,44,01:44,Final,England,Italy,Luke Shaw,3,84.0,77.2,Harry Kane,9,74.5,69.0,9.5,8.2,12.549501982150527,0.7120834752941776,forward,False,Ground Pass,False,False,defensive,middle,True,1,1.6402890959072451,0,7.711381336682032,1,0.29969630094625893
1,49,01:49,Final,England,Italy,Harry Kane,9,60.2,52.9,Kieran Trippier,12,27.900000000000006,9.0,32.3,43.9,54.50229352972221,0.9364692725467223,forward,True,Ground Pass,False,False,middle,attacking,True,0,4.8409792244211,0,33.59580370726578,0,0.31106484687300945
1,55,01:55,Final,England,Italy,Kieran Trippier,12,18.299999999999997,17.6,Luke Shaw,3,7.599999999999994,46.1,10.700000000000003,-28.5,30.442404635639413,-1.2116411890307726,forward,True,High Pass,True,False,attacking,attacking,True,0,5.251595305838144,0,4.98464449991561,4,0.4435539512245432
3,18,03:18,Final,Italy,Italy,Ciro Immobile,17,60.0,40.0,Jorge Luiz Frello Filho,8,43.1,45.2,-16.9,5.200000000000003,17.681911661356075,2.843093722003614,backward,False,Ground Pass,False,False,middle,middle,True,0,,0,,0,0.2486840781076049
3,20,03:20,Final,Italy,Italy,Jorge Luiz Frello Filho,8,43.0,49.9,Giovanni Di Lorenzo,2,52.9,75.2,9.899999999999999,25.300000000000004,27.167995877502637,1.1978086049948358,forward,False,Ground Pass,False,False,middle,middle,True,0,,0,,0,0.2758323226050088
